embedding_model,fusion_method,repeat,fold,source,layer,inner_fold,C,mean_inner_roc_auc,selected,level,model_name
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,1.0,0.7424458257791592,False,L1,base
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,10.0,0.7424458257791592,False,L1,base
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,0.01,0.7368773202106537,True,L1,augmented
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,0.1,0.7358089441422776,False,L1,augmented
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,1.0,0.720959595959596,False,L1,augmented
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,10.0,0.7188228438228439,False,L1,augmented
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,0.01,0.7321721488388154,True,L2,base
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,0.1,0.7285461452128118,False,L2,base
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,1.0,0.7235280151946819,False,L2,base
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,10.0,0.713966588966589,False,L2,base
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,0.01,0.7247474747474748,False,L2,augmented
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,0.1,0.7296684796684797,True,L2,augmented
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,1.0,0.728923853923854,False,L2,augmented
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,10.0,0.7193084693084693,False,L2,augmented
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,0.01,0.8231567814901148,True,L3,base
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,0.1,0.8137032720366054,False,L3,base
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,1.0,0.7800440300440301,False,L3,base
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,10.0,0.7714970214970215,False,L3,base
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,0.01,0.8310131226797894,True,L3,augmented
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,0.1,0.8135953552620219,False,L3,augmented
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,1.0,0.788698955365622,False,L3,augmented
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,10.0,0.77678494345161,False,L3,augmented
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,0.01,0.82833678667012,True,L4,base
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,0.1,0.8158939825606492,False,L4,base
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,1.0,0.780259863593197,False,L4,base
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,10.0,0.7393917810584477,False,L4,base
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,0.01,0.8252395752395753,True,L4,augmented
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,0.1,0.8138111888111889,False,L4,augmented
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,1.0,0.7620974704308038,False,L4,augmented
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,10.0,0.712682379349046,False,L4,augmented
model_1_all_mpnet_base_v2,late_fusion,1,4,P,source,1.0,0.01,0.6582244008714597,False,,
model_1_all_mpnet_base_v2,late_fusion,1,4,P,source,1.0,0.1,0.6606753812636166,True,,
model_1_all_mpnet_base_v2,late_fusion,1,4,P,source,1.0,1.0,0.653730936819172,False,,
model_1_all_mpnet_base_v2,late_fusion,1,4,P,source,1.0,10.0,0.6565904139433552,False,,
model_1_all_mpnet_base_v2,late_fusion,1,4,P,source,2.0,0.01,0.7496693121693122,False,,
model_1_all_mpnet_base_v2,late_fusion,1,4,P,source,2.0,0.1,0.7496693121693122,False,,
model_1_all_mpnet_base_v2,late_fusion,1,4,P,source,2.0,1.0,0.752256458138811,True,,
model_1_all_mpnet_base_v2,late_fusion,1,4,P,source,2.0,10.0,0.716328197945845,False,,
