embedding,fusion,repeat,level,base_auc,augmented_auc,delta_auc,base_pr_auc,augmented_pr_auc,delta_pr_auc,base_brier,augmented_brier,delta_brier,base_log_loss,augmented_log_loss,delta_log_loss,n
model_1_all_mpnet_base_v2,early_concat,7,L3,0.7850599013389711,0.7859995301855767,0.0009396288466055891,0.6751605480977947,0.6757221842327321,0.0005616361349374266,0.20096973332522744,0.19980543313962698,0.0011643001856004587,0.5888960204118887,0.5864327945209169,0.0024632258909718097,142
model_1_all_mpnet_base_v2,early_concat,7,L4,0.8064364575992483,0.8059666431759455,-0.00046981442330285006,0.7037444300977221,0.7029335636671282,-0.0008108664305939151,0.19992900709292868,0.19881152685526746,0.001117480237661228,0.5883095618169388,0.5860129412009355,0.002296620616003331,142
model_1_all_mpnet_base_v2,early_concat,8,L1,0.692271552736669,0.737138830162086,0.044867277425417074,0.5401240143789003,0.5911695046908233,0.05104549031192296,0.23556215267956404,0.24235518783162235,-0.006793035152058313,0.6697580070571939,0.684882388855543,-0.015124381798349074,142
model_1_all_mpnet_base_v2,early_concat,8,L2,0.70589617101245,0.716466995536763,0.010570824524313016,0.6206962112567644,0.6375654191858064,0.016869207929042007,0.1962508125437229,0.19579929161722265,0.00045152092650024844,0.5922326792696299,0.5958236671056764,-0.0035909878360464997,142
model_1_all_mpnet_base_v2,early_concat,8,L3,0.7787174066243834,0.7387831806436457,-0.0399342259807377,0.6511300149852569,0.6023559044629714,-0.04877411052228553,0.20596179500247053,0.20509231221077534,0.0008694827916951864,0.610948861321326,0.6317925810506027,-0.020843719729276677,142
model_1_all_mpnet_base_v2,early_concat,8,L4,0.8015034061545689,0.8015034061545689,0.0,0.6976330768225257,0.6978352637110593,0.00020218688853357314,0.20160976572008138,0.2004999412228844,0.0011098244971969873,0.592132743588625,0.5898459780444489,0.0022867655441760615,142
model_1_all_mpnet_base_v2,early_concat,9,L1,0.7009631195677707,0.7528776133427296,0.051914493774958936,0.5792568887960703,0.6223659618625971,0.04310907306652678,0.2232868833262807,0.22785812309444894,-0.004571239768168256,0.6441663750663532,0.658724599940423,-0.01455822487406977,142
model_1_all_mpnet_base_v2,early_concat,9,L2,0.650927883486023,0.6880432229269439,0.037115339440920825,0.5522491860923641,0.5669183286085003,0.014669142516136269,0.22649011542118558,0.20694867522093507,0.019541440200250504,0.6633198861712677,0.6220935887299798,0.04122629744128792,142
model_1_all_mpnet_base_v2,early_concat,9,L3,0.7968052619215411,0.7547568710359408,-0.042048390885600306,0.6637572333621288,0.6537009282093835,-0.010056305152745248,0.20193202900759294,0.19133541091875553,0.010596618088837412,0.5907573684421655,0.5830691131476742,0.007688255294491353,142
model_1_all_mpnet_base_v2,early_concat,9,L4,0.7975099835564952,0.7977448907681465,0.000234907211651314,0.6959064953111088,0.6963290936271596,0.0004225983160507374,0.18539815701800738,0.18443361679447598,0.0009645402235314016,0.5555810304776769,0.5535307825255286,0.002050247952148365,142
model_1_all_mpnet_base_v2,early_concat,10,L1,0.7552266854592435,0.797509983556495,0.04228329809725151,0.6111762695764769,0.6638433282713484,0.05266705869487154,0.21039181613092253,0.24918164688024055,-0.03878983074931802,0.6141027123036962,0.6915104441866803,-0.07740773188298411,142
model_1_all_mpnet_base_v2,early_concat,10,L2,0.6612638007986845,0.7004933051444678,0.03922950434578332,0.5499398609150116,0.5756000039492601,0.025660143034248573,0.21791337081343196,0.20619086505409948,0.01172250575933248,0.6203099273554058,0.5977332560739431,0.02257667128146268,142
model_1_all_mpnet_base_v2,early_concat,10,L3,0.7740192623913553,0.7754287056612639,0.0014094432699085502,0.6241749460015839,0.6254417641795658,0.0012668181779819099,0.20200732094881002,0.20103966963584302,0.0009676513129669995,0.5945696261748841,0.5924234339535992,0.0021461922212848705,142
model_1_all_mpnet_base_v2,early_concat,10,L4,0.7899929527836504,0.7885835095137421,-0.0014094432699083281,0.6176312520021088,0.6182539452090519,0.0006226932069430813,0.1964964467443574,0.19559343161174425,0.0009030151326131497,0.5814048881238892,0.579462033408761,0.0019428547151282283,142
model_2_bge_large_en_v1_5,late_fusion,1,L1,0.7237491190979564,0.7481794691097017,0.024430350011745317,0.5303634027643274,0.5778761949562785,0.04751279219195115,0.24322272179991836,0.221582476487002,0.021640245312916362,0.6923978201308288,0.6424118338528791,0.0499859862779497,142
model_2_bge_large_en_v1_5,late_fusion,1,L2,0.6915668311017148,0.7322057787174067,0.04063894761569187,0.5004590407044387,0.5612181329959133,0.06075909229147458,0.2505951085716461,0.22325955617021395,0.027335552401432123,0.9351617217748537,0.6509824969113368,0.2841792248635169,142
model_2_bge_large_en_v1_5,late_fusion,1,L3,0.7813013859525487,0.8050270143293399,0.023725628376791152,0.6388267746263339,0.6623132514313973,0.02348647680506344,0.20169385853610391,0.20064347161156362,0.001050386924540292,0.5925405284526077,0.5911035419323986,0.0014369865202091825,142
