representation,repeat,draw,domain_type,base_roc_auc,enhanced_roc_auc,base_pr_auc,enhanced_pr_auc,base_brier,enhanced_brier,base_log_loss,enhanced_log_loss,delta_auc,delta_pr_auc,delta_brier,delta_log_loss,interpretation_scope
tfidf,1,47,fake,0.9252995066948555,0.9243598778482499,0.8330561227089278,0.8263106645098839,0.13405508530433968,0.1335385527615216,0.4179782829301798,0.41897946220799576,-0.0009396288466055891,-0.00674545819904393,0.0005165325428180823,-0.0010011792778159556,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,48,fake,0.9130843316889828,0.9191919191919191,0.8266851132128707,0.8289346815907834,0.13040974590855373,0.12762210534466373,0.40329503077373013,0.39791490849582883,0.006107587502936274,0.0022495683779126807,0.002787640563889998,0.0053801222779013,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,49,fake,0.9097956307258632,0.919661733615222,0.802533821154015,0.8132738798540675,0.14301356546507266,0.12883314252940886,0.4404609769187468,0.4048485268216287,0.009866102889358741,0.010740058700052568,0.014180422935663795,0.03561245009711811,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,50,fake,0.9311721869861405,0.918487197556965,0.8386960391009257,0.8358560640058899,0.12109680304062677,0.12195825595350777,0.3809066329589943,0.37599919287148775,-0.012684989429175508,-0.0028399750950358627,-0.0008614529128810056,0.004907440087506543,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,51,fake,0.9133192389006343,0.9135541461122856,0.8053472202090897,0.8052762198351857,0.13695876970692306,0.1451744988411129,0.42030344977869905,0.44526162415597137,0.000234907211651314,-7.100037390395109e-05,-0.00821572913418983,-0.024958174377272324,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,52,fake,0.8745595489781536,0.8792576932111815,0.7427361506346977,0.7480382078123987,0.14615327410128587,0.1440767881000895,0.483384083484063,0.48594596161278825,0.0046981442330279455,0.005302057177701047,0.002076486001196365,-0.00256187812872527,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,53,fake,0.9292929292929293,0.9236551562132957,0.8306706767408784,0.8165566199109079,0.12415353949534101,0.12775365245273698,0.3995900020477178,0.4108347878613244,-0.005637773079633535,-0.014114056829970467,-0.0036001129573959706,-0.011244785813606606,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,54,fake,0.8848954662908152,0.927883486023021,0.8118982161178903,0.854055408234021,0.1426656677809742,0.12627011905869362,0.4399359896064556,0.39420119435840384,0.042988019732205784,0.04215719211613078,0.01639554872228058,0.04573479524805174,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,55,fake,0.9095607235142118,0.91261451726568,0.833577734498213,0.8326615925555624,0.13296907023921087,0.131653776352599,0.40641413261282094,0.40417820455114484,0.0030537937514681923,-0.0009161419426506612,0.0013152938866118624,0.002235928061676107,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,56,fake,0.897815362931642,0.9156683110171482,0.7872286802434711,0.8246415373357397,0.14170817690882245,0.13969139465185973,0.4328335312506054,0.4248954203528234,0.017852948085506193,0.0374128570922686,0.0020167822569627236,0.007938110897782014,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,57,fake,0.922010805731736,0.9238900634249472,0.7908505142128901,0.7872272201229216,0.12128239203236463,0.1298539250691282,0.3898264403615953,0.4154451691932202,0.0018792576932111782,-0.0036232940899685318,-0.008571533036763584,-0.025618728831624915,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,58,fake,0.9100305379375146,0.9198966408268734,0.8368422138650311,0.8474932460305032,0.1290851353721417,0.1267680675443269,0.3900552048234364,0.3858319095518962,0.009866102889358741,0.01065103216547214,0.002317067827814795,0.004223295271540195,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
