evaluation,model,model_short,input_condition,condition_label,fold,outer_folds,inner_folds,threshold_metric,threshold,train_or_oracle_metric_at_threshold,train_rows,test_rows,class_weight,n,positive_n,negative_n,accuracy,precision,recall,sensitivity,specificity,f1,macro_f1,auc,mcc,tn,fp,fn,tp
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_cleaned,C4 Interviewer-cleaned,4,5,,mcc,0.4763116823729949,0.5761166261547385,149,37,balanced,37,8,29,0.8108108108108109,0.5384615384615384,0.875,0.875,0.7931034482758621,0.6666666666666666,0.7672955974842768,0.875,0.5761166261547385,23,6,1,7
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_cleaned,C4 Interviewer-cleaned,5,5,4,mcc,0.5440712454723226,0.3772204806687565,149,37,balanced,37,9,28,0.8648648648648649,0.8333333333333334,0.5555555555555556,0.5555555555555556,0.9642857142857143,0.6666666666666666,0.7909604519774012,0.8809523809523809,0.6050824450587818,27,1,4,5
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,interviewer_cleaned,C4 Interviewer-cleaned,5,5,,mcc,0.5806314978608154,0.6972166887783964,149,37,balanced,37,9,28,0.8918918918918919,1.0,0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143,0.8238095238095238,0.8809523809523809,0.6972166887783964,28,0,4,5
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,interviewer_cleaned,C4 Interviewer-cleaned,1,5,4,mcc,-0.029204967415368766,0.4930171277997365,148,38,balanced,38,9,29,0.7894736842105263,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.8275862068965517,0.6,0.7285714285714285,0.8850574712643677,0.4633308650819191,24,5,3,6
oracle_test_threshold,tfidf_linear_svm,TF-IDF + SVM,interviewer_cleaned,C4 Interviewer-cleaned,1,5,,mcc,0.10359836102087341,0.7772815877574013,148,38,balanced,38,9,29,0.9210526315789473,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.8754098360655738,0.8850574712643677,0.7772815877574013,29,0,3,6
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,interviewer_cleaned,C4 Interviewer-cleaned,2,5,4,mcc,0.011496930483882006,0.5690039089455774,149,37,balanced,37,8,29,0.8108108108108109,0.5454545454545454,0.75,0.75,0.8275862068965517,0.631578947368421,0.7521531100478469,0.8103448275862069,0.5202089135345165,24,5,2,6
oracle_test_threshold,tfidf_linear_svm,TF-IDF + SVM,interviewer_cleaned,C4 Interviewer-cleaned,2,5,,mcc,0.09539873448855221,0.6203645837318315,149,37,balanced,37,8,29,0.8648648648648649,0.6666666666666666,0.75,0.75,0.896551724137931,0.7058823529411765,0.8090815273477812,0.8103448275862069,0.6203645837318315,26,3,2,6
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,interviewer_cleaned,C4 Interviewer-cleaned,3,5,4,mcc,-0.04118546056165877,0.5624118117908522,149,37,balanced,37,8,29,0.7567567567567568,0.42857142857142855,0.375,0.375,0.8620689655172413,0.4,0.623728813559322,0.7327586206896552,0.24917762935063276,25,4,5,3
oracle_test_threshold,tfidf_linear_svm,TF-IDF + SVM,interviewer_cleaned,C4 Interviewer-cleaned,3,5,,mcc,0.4889882205966166,0.45512949491639976,149,37,balanced,37,8,29,0.8378378378378378,1.0,0.25,0.25,1.0,0.4,0.653125,0.7327586206896552,0.45512949491639976,29,0,6,2
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,interviewer_cleaned,C4 Interviewer-cleaned,4,5,4,mcc,0.029450331757802845,0.4555552839796229,149,37,balanced,37,8,29,0.9459459459459459,1.0,0.75,0.75,1.0,0.8571428571428571,0.9119047619047619,0.939655172413793,0.8376233659741151,29,0,2,6
