experiment,condition,draw_id,embedding_model,fusion_method,model_level,model_name,n,auc,pr_auc,brier,log_loss
pairing,random,3,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.6993187690862109,0.5172570780324554,0.24070731685699076,0.6727511612542121
pairing,random,4,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.6868686868686869,0.5017299424592417,0.23497514418258428,0.6612581978862231
pairing,random,5,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.7171717171717171,0.5655370341794125,0.2118321356210772,0.6136212099854542
pairing,random,6,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.6765327695560254,0.4935424376592726,0.22935267458138042,0.6486322231698023
pairing,random,7,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.7080103359173127,0.5365981312215496,0.23186650900696698,0.6552112866359208
pairing,random,8,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.757340850364106,0.5919713762217647,0.2372528722525351,0.6674989068135494
pairing,random,9,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.6720695325346487,0.4598751169639068,0.23925918333311874,0.6725940636692294
pairing,random,10,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.710594315245478,0.5707188806851425,0.2395164661910306,0.6720680315761635
pairing,random,11,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.6833450786939158,0.5151585712983736,0.22347889553482744,0.6354365302391588
pairing,random,12,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.7178764388066713,0.5262308657784444,0.23991832490010218,0.6711048615129726
pairing,random,13,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.7293868921775899,0.6114470618303601,0.2101436803736546,0.6087555586528548
pairing,random,14,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.678646934460888,0.5212776424209679,0.22585975619375617,0.6404996711600008
pairing,random,15,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.7206953253464882,0.5332274780844308,0.23242304290458435,0.6559384481194471
pairing,random,16,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.6791167488841908,0.47647612285212704,0.24086711144543926,0.6727487119844392
pairing,random,17,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.6972046041813483,0.5230237798595919,0.22483273502358359,0.6394698546941276
pairing,random,18,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.7202255109231852,0.611621947005885,0.24972929465795202,0.6926057407127892
pairing,random,19,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.7103594080338266,0.5321063405979447,0.24370617232118694,0.6804879008967899
pairing,random,20,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.6835799859055672,0.5002528904552659,0.24102473355395335,0.673166506779328
pairing,random,21,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.7397228094902514,0.5804100942984682,0.2156856300745375,0.619305385289824
pairing,random,22,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.6518675123326286,0.509418096022281,0.24152123498023914,0.6804613856215838
