experiment,condition,draw_id,embedding_model,fusion_method,model_level,model_name,n,auc,pr_auc,brier,log_loss,domain_variant,base_auc,augmented_auc,delta_auc,base_pr_auc,augmented_pr_auc,delta_pr_auc,base_brier,augmented_brier,delta_brier,base_log_loss,augmented_log_loss,delta_log_loss
fake_d,fake_d,22,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.7369039229504346,0.7470049330514447,0.010101010101010055,0.5369225071232625,0.5858206282478489,0.04889812112458636,0.19426522524337086,0.18777737239033362,0.00648785285303724,0.5738577028730363,0.5645541840095668,0.009303518863469473
fake_d,fake_d,23,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.732440685929058,0.6154214148060109,0.1920830827186495,0.5852398402056335,Fake-D,,,,,,,,,,,,
fake_d,fake_d,23,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.7150575522668546,0.5845543801963522,0.19800893525404833,0.5893346632333981,Fake-D,,,,,,,,,,,,
fake_d,fake_d,23,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.7150575522668546,0.732440685929058,0.017383133662203343,0.5845543801963522,0.6154214148060109,0.030867034609658672,0.19800893525404833,0.1920830827186495,0.005925852535398846,0.5893346632333981,0.5852398402056335,0.004094823027764649
fake_d,fake_d,24,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.700493305144468,0.6022168826744049,0.19508182816920008,0.5904513425545441,Fake-D,,,,,,,,,,,,
fake_d,fake_d,24,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.6828752642706131,0.5243514101196666,0.20609107998143536,0.6003118553856244,Fake-D,,,,,,,,,,,,
fake_d,fake_d,24,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.6828752642706131,0.700493305144468,0.01761804087385488,0.5243514101196666,0.6022168826744049,0.0778654725547383,0.20609107998143536,0.19508182816920008,0.011009251812235277,0.6003118553856244,0.5904513425545441,0.009860512831080248
fake_d,fake_d,25,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7296217993892412,0.6332130214365259,0.19707382795203562,0.5942226173268158,Fake-D,,,,,,,,,,,,
fake_d,fake_d,25,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.7249236551562133,0.5864420220991811,0.19892840131290232,0.5911668173775563,Fake-D,,,,,,,,,,,,
fake_d,fake_d,25,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.7249236551562133,0.7296217993892412,0.0046981442330279455,0.5864420220991811,0.6332130214365259,0.046770999337344854,0.19892840131290232,0.19707382795203562,0.0018545733608666959,0.5911668173775563,0.5942226173268158,-0.00305579994925953
fake_d,fake_d,26,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7329105003523608,0.6099969972618112,0.19275616755167235,0.6399215818874673,Fake-D,,,,,,,,,,,,
fake_d,fake_d,26,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.7279774489076813,0.5953144288229644,0.1949900997727969,0.6439825738004081,Fake-D,,,,,,,,,,,,
fake_d,fake_d,26,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.7279774489076813,0.7329105003523608,0.0049330514446794815,0.5953144288229644,0.6099969972618112,0.014682568438846855,0.1949900997727969,0.19275616755167235,0.002233932221124557,0.6439825738004081,0.6399215818874673,0.004060991912940848
fake_d,fake_d,27,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7383133662203429,0.5820886739438108,0.19198166874639158,0.5793955472810282,Fake-D,,,,,,,,,,,,
fake_d,fake_d,27,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.7317359642941038,0.5803980014098334,0.1938765526711653,0.5706166507589179,Fake-D,,,,,,,,,,,,
fake_d,fake_d,27,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.7317359642941038,0.7383133662203429,0.006577401926239124,0.5803980014098334,0.5820886739438108,0.0016906725339773665,0.1938765526711653,0.19198166874639158,0.001894883924773716,0.5706166507589179,0.5793955472810282,-0.00877889652211028
fake_d,fake_d,28,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.6913319238900634,0.49936612413968784,0.2091785824892833,0.6812894187495802,Fake-D,,,,,,,,,,,,
fake_d,fake_d,28,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.6964998825463942,0.4820468401740132,0.20895471400363103,0.6526720245813707,Fake-D,,,,,,,,,,,,
fake_d,fake_d,28,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.6964998825463942,0.6913319238900634,-0.0051679586563307955,0.4820468401740132,0.49936612413968784,0.017319283965674614,0.20895471400363103,0.2091785824892833,-0.00022386848565228434,0.6526720245813707,0.6812894187495802,-0.02861739416820941
fake_d,fake_d,29,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7204604181348367,0.5829232408422363,0.1947592790375378,0.5975002256281542,Fake-D,,,,,,,,,,,,
fake_d,fake_d,29,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.707070707070707,0.5745262212167482,0.19803322029373366,0.5871523751893704,Fake-D,,,,,,,,,,,,
fake_d,fake_d,29,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.707070707070707,0.7204604181348367,0.013389711064129783,0.5745262212167482,0.5829232408422363,0.008397019625488111,0.19803322029373366,0.1947592790375378,0.0032739412561958448,0.5871523751893704,0.5975002256281542,-0.010347850438783834
fake_d,fake_d,30,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7221047686163965,0.5717133512988499,0.19907378929944827,0.5881731722026674,Fake-D,,,,,,,,,,,,
fake_d,fake_d,30,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.7101245008221753,0.5263487635313546,0.20634854880502373,0.5981421478442541,Fake-D,,,,,,,,,,,,
fake_d,fake_d,30,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.7101245008221753,0.7221047686163965,0.011980267794221233,0.5263487635313546,0.5717133512988499,0.0453645877674953,0.20634854880502373,0.19907378929944827,0.007274759505575462,0.5981421478442541,0.5881731722026674,0.00996897564158672
fake_d,fake_d,31,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.696969696969697,0.5000242049597649,0.20610115002002485,0.6598757754470508,Fake-D,,,,,,,,,,,,
fake_d,fake_d,31,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.6868686868686867,0.48313751526514037,0.20936558727480706,0.6392935495508248,Fake-D,,,,,,,,,,,,
fake_d,fake_d,31,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.6868686868686867,0.696969696969697,0.010101010101010277,0.48313751526514037,0.5000242049597649,0.01688668969462448,0.20936558727480706,0.20610115002002485,0.0032644372547822043,0.6392935495508248,0.6598757754470508,-0.020582225896225936
fake_d,fake_d,32,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7824759220108057,0.695544290319071,0.17113290398750636,0.523994911765217,Fake-D,,,,,,,,,,,,
fake_d,fake_d,32,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.7709654686398871,0.6607336340553802,0.17831247295069674,0.5339761576515402,Fake-D,,,,,,,,,,,,
fake_d,fake_d,32,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.7709654686398871,0.7824759220108057,0.011510453370918605,0.6607336340553802,0.695544290319071,0.03481065626369073,0.17831247295069674,0.17113290398750636,0.007179568963190386,0.5339761576515402,0.523994911765217,0.009981245886323209
fake_d,fake_d,33,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7061310782241015,0.5783980741472408,0.20453352095600863,0.6612031995325507,Fake-D,,,,,,,,,,,,
fake_d,fake_d,33,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.700493305144468,0.5517785399883659,0.20927180527971664,0.6652457460909452,Fake-D,,,,,,,,,,,,
fake_d,fake_d,33,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.700493305144468,0.7061310782241015,0.005637773079633535,0.5517785399883659,0.5783980741472408,0.026619534158874858,0.20927180527971664,0.20453352095600863,0.004738284323708014,0.6652457460909452,0.6612031995325507,0.004042546558394533
fake_d,fake_d,34,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7326755931407094,0.5466538382356365,0.19376365541937465,0.598393221342935,Fake-D,,,,,,,,,,,,
fake_d,fake_d,34,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.7143528306319005,0.5075564167142589,0.19918294884820817,0.6043093380852672,Fake-D,,,,,,,,,,,,
fake_d,fake_d,34,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.7143528306319005,0.7326755931407094,0.018322762508808932,0.5075564167142589,0.5466538382356365,0.03909742152137763,0.19918294884820817,0.19376365541937465,0.005419293428833516,0.6043093380852672,0.598393221342935,0.005916116742332167
fake_d,fake_d,35,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7112990368804323,0.58798944906282,0.20293261929381465,0.6167719214399713,Fake-D,,,,,,,,,,,,
fake_d,fake_d,35,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.6976744186046512,0.5415864022859617,0.20665002881702632,0.6171918604000456,Fake-D,,,,,,,,,,,,
fake_d,fake_d,35,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.6976744186046512,0.7112990368804323,0.013624618275781097,0.5415864022859617,0.58798944906282,0.04640304677685836,0.20665002881702632,0.20293261929381465,0.0037174095232116733,0.6171918604000456,0.6167719214399713,0.0004199389600743064
fake_d,fake_d,36,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7453605825698849,0.6244723220849359,0.1866348104002292,0.586380595260634,Fake-D,,,,,,,,,,,,
fake_d,fake_d,36,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.6885130373502466,0.5352349376483013,0.21029684504167595,0.6377909601513145,Fake-D,,,,,,,,,,,,
fake_d,fake_d,36,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.6885130373502466,0.7453605825698849,0.05684754521963831,0.5352349376483013,0.6244723220849359,0.08923738443663454,0.21029684504167595,0.1866348104002292,0.023662034641446755,0.6377909601513145,0.586380595260634,0.051410364890680516
