embedding_model,repeat,condition,draw_id,model_level,fusion_method,n,auc,pr_auc,brier,log_loss
model_1_all_mpnet_base_v2,6,random,25,L1,early_concat,142,0.7397228094902514,0.6186337119972039,0.22178085650011817,0.6356564268341702
model_1_all_mpnet_base_v2,6,random,26,L1,early_concat,142,0.7465351186281419,0.5957301891282574,0.22476035761971408,0.6440870809875902
model_1_all_mpnet_base_v2,6,random,27,L1,early_concat,142,0.7364341085271318,0.5259704174791764,0.23986986685310477,0.6757762433078233
model_1_all_mpnet_base_v2,6,random,28,L1,early_concat,142,0.7387831806436458,0.6021528859084281,0.20946726648865788,0.6093314570772822
model_1_all_mpnet_base_v2,6,random,29,L1,early_concat,142,0.7484143763213531,0.6434450536534145,0.24970981700942255,0.6925668082511675
model_1_all_mpnet_base_v2,6,random,30,L1,early_concat,142,0.7148226450552032,0.5556468895827739,0.23979678190847378,0.6724722605982656
model_1_all_mpnet_base_v2,6,random,31,L1,early_concat,142,0.7073056142823584,0.5713710892298624,0.23415977962977072,0.6609899400658655
model_1_all_mpnet_base_v2,6,random,32,L1,early_concat,142,0.7526427061310782,0.6158551297203252,0.23217564595301565,0.6554100124599554
model_1_all_mpnet_base_v2,6,random,33,L1,early_concat,142,0.7136481089969461,0.5810392058350015,0.21786986449926907,0.6300369177209795
model_1_all_mpnet_base_v2,6,random,34,L1,early_concat,142,0.7317359642941038,0.6067560218589128,0.23722170724264066,0.6691590694818584
model_1_all_mpnet_base_v2,6,random,35,L1,early_concat,142,0.7662673244068593,0.673999860226093,0.1957793647576193,0.5825752031757
model_1_all_mpnet_base_v2,6,random,36,L1,early_concat,142,0.7420718816067653,0.5906712930165249,0.23058336131609405,0.6504436770490866
model_1_all_mpnet_base_v2,6,random,37,L1,early_concat,142,0.7183462532299741,0.6014071008435063,0.2367500525587829,0.6661357601356971
model_1_all_mpnet_base_v2,6,random,38,L1,early_concat,142,0.6910970166784121,0.5133316264447623,0.23946767890101844,0.6750103110627474
model_1_all_mpnet_base_v2,6,random,39,L1,early_concat,142,0.7453605825698848,0.5827911867502223,0.22792382349837662,0.6472316398485675
model_1_all_mpnet_base_v2,6,random,40,L1,early_concat,142,0.7390180878552971,0.619000900077186,0.22984366849352647,0.6515441300809759
model_1_all_mpnet_base_v2,6,random,41,L1,early_concat,142,0.7293868921775898,0.5801888107012652,0.22858138099251782,0.6474562912661628
model_1_all_mpnet_base_v2,6,random,42,L1,early_concat,142,0.7204604181348367,0.5594202561653658,0.2291174209964723,0.6498425636850317
model_1_all_mpnet_base_v2,6,random,43,L1,early_concat,142,0.7171717171717172,0.5732294267794841,0.22503931966753665,0.6428350168499218
model_1_all_mpnet_base_v2,6,random,44,L1,early_concat,142,0.741836974395114,0.6175594485588825,0.2344829465265196,0.6615516043377104
model_1_all_mpnet_base_v2,6,random,45,L1,early_concat,142,0.6946206248531829,0.5710924277910702,0.23144457841687577,0.655254249926613
model_1_all_mpnet_base_v2,6,random,46,L1,early_concat,142,0.7108292224571293,0.5517740238246904,0.24128432348488651,0.675479406374414
model_1_all_mpnet_base_v2,6,random,47,L1,early_concat,142,0.7221047686163965,0.5712810835375868,0.24126255410328376,0.67360383183607
model_1_all_mpnet_base_v2,6,random,48,L1,early_concat,142,0.6943857176415317,0.5681411592086957,0.22356933111576305,0.6347908147475407
model_1_all_mpnet_base_v2,6,random,49,L1,early_concat,142,0.7486492835330045,0.625838446593934,0.23603839859099715,0.6647965632539705
