embedding_model,repeat,condition,draw_id,domain_variant,model_level,fusion_method,n,base_auc,augmented_auc,delta_auc,base_pr_auc,augmented_pr_auc,delta_pr_auc,base_brier,augmented_brier,delta_brier,base_log_loss,augmented_log_loss,delta_log_loss
model_1_all_mpnet_base_v2,1,fake_d,11,Fake-D,L3,early_concat,142,0.7373737373737373,0.7639182522903454,0.02654451491660803,0.6001299594853748,0.6715139240651664,0.07138396457979157,0.1906236719091249,0.17834438279088516,0.01227928911823975,0.5654067924748547,0.5389509528781787,0.026455839596675967
model_1_all_mpnet_base_v2,1,fake_d,12,Fake-D,L3,early_concat,142,0.7601597369039229,0.7632135306553911,0.0030537937514681923,0.5184888154620397,0.5426891684487332,0.02420035298669343,0.1940626198904185,0.18966700748343374,0.004395612406984772,0.6731678890308573,0.6672771110825186,0.005890777948338699
model_1_all_mpnet_base_v2,1,fake_d,13,Fake-D,L3,early_concat,142,0.6981442330279539,0.716466995536763,0.018322762508809043,0.5457444054686879,0.5546471217592298,0.008902716290541957,0.21069233702911674,0.20338171429952306,0.00731062272959368,0.6204195764691123,0.6269541045273276,-0.006534528058215305
model_1_all_mpnet_base_v2,1,fake_d,14,Fake-D,L3,early_concat,142,0.681700728212356,0.6906272022551092,0.008926474042753152,0.5047395778406344,0.5367740959127363,0.03203451807210189,0.213992928415346,0.21494097442684224,-0.0009480460114962286,0.6301989382343901,0.6541060472577938,-0.02390710902340365
model_1_all_mpnet_base_v2,1,fake_d,15,Fake-D,L3,early_concat,142,0.7559314070941978,0.7643880667136481,0.008456659619450302,0.5795177439587444,0.5910688196149225,0.011551075656178078,0.19071459520926423,0.19108632800001968,-0.00037173279075544685,0.5474632741931768,0.5587083981564881,-0.011245123963311343
model_1_all_mpnet_base_v2,1,fake_d,16,Fake-D,L3,early_concat,142,0.7364341085271318,0.7533474277660324,0.016913319238900604,0.599439291205891,0.6292713974361017,0.02983210623021071,0.1913029465439463,0.182079562587664,0.009223383956282305,0.5952875845302773,0.5766795656452491,0.018608018885028166
model_1_all_mpnet_base_v2,1,fake_d,17,Fake-D,L3,early_concat,142,0.6772374911909795,0.703547098895936,0.026309607704956495,0.5035176052632275,0.5344884278007187,0.03097082253749117,0.21097398327911865,0.20163253808219,0.009341445196928644,0.6199105320935211,0.6123820832389851,0.007528448854535963
model_1_all_mpnet_base_v2,1,fake_d,18,Fake-D,L3,early_concat,142,0.7228094902513508,0.7399577167019027,0.017148226450551918,0.5927167951998743,0.6403309202517158,0.04761412505184148,0.1939346653628798,0.19139323215676146,0.0025414332061183265,0.5778353246571429,0.575015956112526,0.0028193685446169514
model_1_all_mpnet_base_v2,1,fake_d,19,Fake-D,L3,early_concat,142,0.750763448437867,0.7683814893117218,0.017618040873854768,0.6233205272389756,0.6594770693933135,0.036156542154337945,0.1851910516975586,0.17964274214736115,0.005548309550197444,0.5912186347947616,0.5813543596607272,0.009864275134034317
model_1_all_mpnet_base_v2,1,fake_d,20,Fake-D,L3,early_concat,142,0.7181113460183228,0.7376086445853889,0.019497298567066057,0.6095312388467862,0.6390410828067712,0.029509843959985016,0.1925854264420667,0.18542121937736597,0.007164207064700723,0.5918873207270654,0.5759666767078893,0.015920644019176144
model_1_all_mpnet_base_v2,1,fake_d,21,Fake-D,L3,early_concat,142,0.6542165844491427,0.6631430584918957,0.008926474042753041,0.5116363520507896,0.5436146357829008,0.0319782837321112,0.2190885214922313,0.21428553876207776,0.004802982730153532,0.7093361271352068,0.7067575629928955,0.0025785641423112793
model_1_all_mpnet_base_v2,1,fake_d,22,Fake-D,L3,early_concat,142,0.7481794691097017,0.7733145407564013,0.02513507164669959,0.6244734988002563,0.6365756653633355,0.012102166563079275,0.18789479234269268,0.1774219245057722,0.010472867836920474,0.5471839726530852,0.5298805314669623,0.017303441186122814
model_1_all_mpnet_base_v2,1,fake_d,23,Fake-D,L3,early_concat,142,0.704721634954193,0.7230443974630021,0.018322762508809043,0.513462951042204,0.5209309973265741,0.0074680462843701445,0.20982780892694064,0.20337189291807167,0.006455916008868967,0.6468381465715117,0.658279007797215,-0.011440861225703314
model_1_all_mpnet_base_v2,1,fake_d,24,Fake-D,L3,early_concat,142,0.7587502936340146,0.7665022316185106,0.007751937984496027,0.5979210448346074,0.626368726374297,0.028447681539689573,0.1862270137222288,0.18365665320936903,0.002570360512859776,0.5463806011805025,0.5519124239950831,-0.005531822814580645
