record_type,representation,repeat,outer_fold,draw,partition,assignment_type,recipient_id,donor_id,self_match,one_to_one,standardized_euclidean_distance,abs_standardized_pair_difference__interviewer_word_count,abs_standardized_pair_difference__interviewer_turn_count,abs_standardized_pair_difference__clinical_question_count,abs_standardized_pair_difference__clinical_prompt_coverage_count,abs_standardized_pair_difference__non_explicit_interviewer_turn_count,abs_standardized_pair_difference__d_p_domain_breadth,abs_standardized_pair_difference__d_p_total_evidence_count
pairwise,tfidf,1,3,2,outer_test,random_mismatch,313,315,False,True,1.274995113017975,0.5490101841534545,0.508941031335749,0.0,0.0,0.5381984847903545,0.0,0.8806371406588415
pairwise,tfidf,1,3,2,outer_test,random_mismatch,315,491,False,True,2.245047917110434,1.1677359472470301,0.22619601392699956,1.005615978278435,1.0583265838807767,0.35879898986023634,1.1685088368814935,0.0
pairwise,tfidf,1,3,2,outer_test,random_mismatch,317,489,False,True,2.8578912459506762,1.2461659735546664,0.05654900348174989,1.5084239674176525,1.587489875821165,0.11959966328674544,1.1685088368814935,0.6604778554941311
pairwise,tfidf,1,3,2,outer_test,random_mismatch,320,436,False,True,6.05090507019767,0.4531512631107878,2.375058146233495,3.5196559239745224,2.645816459701942,2.092994107518045,1.7527632553222403,1.9814335664823934
pairwise,tfidf,1,3,2,outer_test,random_mismatch,338,352,False,True,2.8611447373069345,0.8453013946489696,1.8095681114159965,0.0,0.0,1.913594612587927,0.5842544184407468,0.44031857032942073
pairwise,tfidf,1,3,2,outer_test,random_mismatch,344,305,False,True,2.6373315355103224,0.39215013153818173,0.28274501740874947,2.01123195655687,1.0583265838807767,0.05979983164337272,0.5842544184407468,1.1007964258235519
pairwise,tfidf,1,3,2,outer_test,random_mismatch,352,317,False,True,4.324221353565861,1.4901704998450906,2.431607149715245,1.5084239674176525,1.587489875821165,2.391993265734909,0.0,0.22015928516471037
pairwise,tfidf,1,3,2,outer_test,random_mismatch,356,446,False,True,3.4420386507691685,0.5228668420509089,1.3006270800802475,1.005615978278435,1.0583265838807767,1.255796464510827,1.7527632553222403,1.761274281317683
pairwise,tfidf,1,3,2,outer_test,random_mismatch,367,380,False,True,3.7372112080678637,1.0283047893667876,1.2440780765984976,0.5028079891392175,0.5291632919403884,1.3753961277975726,1.7527632553222403,2.421752136811814
pairwise,tfidf,1,3,2,outer_test,random_mismatch,371,430,False,True,2.848858631429561,0.5054379473158787,0.5654900348174989,1.5084239674176525,1.587489875821165,0.7773978113638453,1.1685088368814935,0.8806371406588415
pairwise,tfidf,1,3,2,outer_test,random_mismatch,380,371,False,True,1.8000374696952217,0.6274402104610908,0.22619601392699956,1.005615978278435,1.0583265838807767,0.35879898986023634,0.5842544184407468,0.44031857032942073
pairwise,tfidf,1,3,2,outer_test,random_mismatch,383,344,False,True,3.1075039098064425,0.3398634473330908,1.8095681114159965,0.5028079891392175,0.0,1.8537947809445543,1.1685088368814935,1.1007964258235519
pairwise,tfidf,1,3,2,outer_test,random_mismatch,393,459,False,True,4.549036929581105,1.681888341930424,1.4702740905254972,2.01123195655687,2.1166531677615534,1.3155962961541998,1.7527632553222403,1.5411149961529726
pairwise,tfidf,1,3,2,outer_test,random_mismatch,395,313,False,True,2.255914465940084,1.3768826840673938,0.22619601392699956,0.5028079891392175,0.5291632919403884,0.17939949493011817,1.1685088368814935,1.1007964258235519
