representation,repeat,prediction_scope,metric,estimate,r2,delta_mse,mae,rmse,spearman_rho,target_mse,null_mse,r2_defined,n_participants,interpretation_scope
bge,4,outer_test,r2,0.1229770131330673,0.1229770131330673,0.016710582716976757,0.23101759379398817,0.34521472739646825,0.46978776248582677,0.1191732080114179,0.13588379072839465,True,142,label_only_common_outcome_alignment_benchmark
bge,4,outer_test,delta_mse,0.016710582716976757,0.1229770131330673,0.016710582716976757,0.23101759379398817,0.34521472739646825,0.46978776248582677,0.1191732080114179,0.13588379072839465,True,142,label_only_common_outcome_alignment_benchmark
bge,4,outer_test,mae,0.23101759379398817,0.1229770131330673,0.016710582716976757,0.23101759379398817,0.34521472739646825,0.46978776248582677,0.1191732080114179,0.13588379072839465,True,142,label_only_common_outcome_alignment_benchmark
bge,4,outer_test,rmse,0.34521472739646825,0.1229770131330673,0.016710582716976757,0.23101759379398817,0.34521472739646825,0.46978776248582677,0.1191732080114179,0.13588379072839465,True,142,label_only_common_outcome_alignment_benchmark
bge,4,outer_test,spearman_rho,0.46978776248582677,0.1229770131330673,0.016710582716976757,0.23101759379398817,0.34521472739646825,0.46978776248582677,0.1191732080114179,0.13588379072839465,True,142,label_only_common_outcome_alignment_benchmark
bge,5,outer_test,r2,0.1122582330870926,0.1122582330870926,0.03057315292666804,0.38512337249434175,0.4917046776676575,0.341360402958108,0.24177349004025497,0.272346642966923,True,142,label_only_common_outcome_alignment_benchmark
bge,5,outer_test,delta_mse,0.03057315292666804,0.1122582330870926,0.03057315292666804,0.38512337249434175,0.4917046776676575,0.341360402958108,0.24177349004025497,0.272346642966923,True,142,label_only_common_outcome_alignment_benchmark
bge,5,outer_test,mae,0.38512337249434175,0.1122582330870926,0.03057315292666804,0.38512337249434175,0.4917046776676575,0.341360402958108,0.24177349004025497,0.272346642966923,True,142,label_only_common_outcome_alignment_benchmark
bge,5,outer_test,rmse,0.4917046776676575,0.1122582330870926,0.03057315292666804,0.38512337249434175,0.4917046776676575,0.341360402958108,0.24177349004025497,0.272346642966923,True,142,label_only_common_outcome_alignment_benchmark
bge,5,outer_test,spearman_rho,0.341360402958108,0.1122582330870926,0.03057315292666804,0.38512337249434175,0.4917046776676575,0.341360402958108,0.24177349004025497,0.272346642966923,True,142,label_only_common_outcome_alignment_benchmark
bge,6,outer_test,r2,0.15902380295388208,0.15902380295388208,0.02304680295862166,0.23071013273387264,0.3491130865371763,0.34835451549575686,0.12187994719151396,0.14492675015013562,True,142,label_only_common_outcome_alignment_benchmark
bge,6,outer_test,delta_mse,0.02304680295862166,0.15902380295388208,0.02304680295862166,0.23071013273387264,0.3491130865371763,0.34835451549575686,0.12187994719151396,0.14492675015013562,True,142,label_only_common_outcome_alignment_benchmark
bge,6,outer_test,mae,0.23071013273387264,0.15902380295388208,0.02304680295862166,0.23071013273387264,0.3491130865371763,0.34835451549575686,0.12187994719151396,0.14492675015013562,True,142,label_only_common_outcome_alignment_benchmark
bge,6,outer_test,rmse,0.3491130865371763,0.15902380295388208,0.02304680295862166,0.23071013273387264,0.3491130865371763,0.34835451549575686,0.12187994719151396,0.14492675015013562,True,142,label_only_common_outcome_alignment_benchmark
bge,6,outer_test,spearman_rho,0.34835451549575686,0.15902380295388208,0.02304680295862166,0.23071013273387264,0.3491130865371763,0.34835451549575686,0.12187994719151396,0.14492675015013562,True,142,label_only_common_outcome_alignment_benchmark
bge,7,outer_test,r2,0.04105820657022019,0.04105820657022019,0.012870119103336297,0.434036454278616,0.5482610818609361,0.174692368964053,0.3005902138833241,0.3134603329866604,True,142,label_only_common_outcome_alignment_benchmark
bge,7,outer_test,delta_mse,0.012870119103336297,0.04105820657022019,0.012870119103336297,0.434036454278616,0.5482610818609361,0.174692368964053,0.3005902138833241,0.3134603329866604,True,142,label_only_common_outcome_alignment_benchmark
bge,7,outer_test,mae,0.434036454278616,0.04105820657022019,0.012870119103336297,0.434036454278616,0.5482610818609361,0.174692368964053,0.3005902138833241,0.3134603329866604,True,142,label_only_common_outcome_alignment_benchmark
bge,7,outer_test,rmse,0.5482610818609361,0.04105820657022019,0.012870119103336297,0.434036454278616,0.5482610818609361,0.174692368964053,0.3005902138833241,0.3134603329866604,True,142,label_only_common_outcome_alignment_benchmark
bge,7,outer_test,spearman_rho,0.174692368964053,0.04105820657022019,0.012870119103336297,0.434036454278616,0.5482610818609361,0.174692368964053,0.3005902138833241,0.3134603329866604,True,142,label_only_common_outcome_alignment_benchmark
bge,8,outer_test,r2,0.10637468890875978,0.10637468890875978,0.03862922254731582,0.4781347753471952,0.5696610984132061,0.33751184661759065,0.3245137670453405,0.36314298959265634,True,142,label_only_common_outcome_alignment_benchmark
bge,8,outer_test,delta_mse,0.03862922254731582,0.10637468890875978,0.03862922254731582,0.4781347753471952,0.5696610984132061,0.33751184661759065,0.3245137670453405,0.36314298959265634,True,142,label_only_common_outcome_alignment_benchmark
bge,8,outer_test,mae,0.4781347753471952,0.10637468890875978,0.03862922254731582,0.4781347753471952,0.5696610984132061,0.33751184661759065,0.3245137670453405,0.36314298959265634,True,142,label_only_common_outcome_alignment_benchmark
bge,8,outer_test,rmse,0.5696610984132061,0.10637468890875978,0.03862922254731582,0.4781347753471952,0.5696610984132061,0.33751184661759065,0.3245137670453405,0.36314298959265634,True,142,label_only_common_outcome_alignment_benchmark
bge,8,outer_test,spearman_rho,0.33751184661759065,0.10637468890875978,0.03862922254731582,0.4781347753471952,0.5696610984132061,0.33751184661759065,0.3245137670453405,0.36314298959265634,True,142,label_only_common_outcome_alignment_benchmark
