representation,repeat,draw,domain_type,r2,mae,rmse,spearman_rho,mse_improvement,target_mse,null_mse,interpretation_scope
tfidf,5,0,real,0.7809653350898903,0.18313723545617006,0.22425511782593857,0.9167251687479439,0.7809653350898903,0.05029035787112559,0.22959999455686342,real_D_vs_fake_D_negative_control
tfidf,6,0,real,0.7734720570077491,0.17902877742605514,0.225737304590364,0.8992185519006016,0.7734720570077491,0.050957330683722775,0.22494942571153762,real_D_vs_fake_D_negative_control
tfidf,7,0,real,0.7941237104241636,0.17295742972455896,0.21479326494083148,0.9171987736566699,0.7941237104241636,0.04613614666394223,0.22409645500701322,real_D_vs_fake_D_negative_control
tfidf,8,0,real,0.7850254844740023,0.1712798344486682,0.21461608556685757,0.9056101225714651,0.7850254844740023,0.04606006418404073,0.21425825322290595,real_D_vs_fake_D_negative_control
tfidf,9,0,real,0.7989636695124848,0.1736788255321943,0.21663719109926302,0.919327900148997,0.7989636695124848,0.0469316725673786,0.23344871274544657,real_D_vs_fake_D_negative_control
tfidf,10,0,real,0.7867843254084659,0.1773482231217914,0.2197257051018739,0.9072069674407103,0.7867843254084659,0.048279385482515653,0.22643450381875732,real_D_vs_fake_D_negative_control
mpnet,1,0,real,0.2967210380639399,0.2991891749963521,0.49281858927406813,0.5502136461081621,0.2967210380639399,0.24287016193408267,0.345339723038898,real_D_vs_fake_D_negative_control
mpnet,2,0,real,-0.17133509487629972,0.43997416261848216,0.6370127897646561,0.3825784643884734,-0.17133509487629972,0.40578529432375005,0.34642972459269095,real_D_vs_fake_D_negative_control
mpnet,3,0,real,0.06788192496188772,0.3866764398151512,0.5438163878832456,0.4885234633511529,0.06788192496188772,0.29573626373038064,0.3172733923417252,real_D_vs_fake_D_negative_control
mpnet,4,0,real,-0.37913413102333093,0.3421896716643719,0.4667738136178075,0.48324255905916086,-0.37913413102333093,0.2178777930793117,0.15798158292090433,real_D_vs_fake_D_negative_control
mpnet,5,0,real,0.15783607599488747,0.49531366794235027,0.6566304857494787,0.5259466335282938,0.15783607599488747,0.4311635948155963,0.5119711050612266,real_D_vs_fake_D_negative_control
mpnet,6,0,real,-0.02780673385453314,0.06503389740941677,0.12545149453917295,0.42980064586297734,-0.02780673385453314,0.015738077482112138,0.01531229263607799,real_D_vs_fake_D_negative_control
mpnet,7,0,real,-0.16626408870896925,0.18982342830060916,0.36859072998170983,0.5702601264483195,-0.16626408870896925,0.13585912622844973,0.11649087676089129,real_D_vs_fake_D_negative_control
mpnet,8,0,real,-1.1711386934886878,0.21216670630006404,0.27699215560379525,0.5491323180864686,-1.1711386934886878,0.07672465426603711,0.03533843991456498,real_D_vs_fake_D_negative_control
mpnet,9,0,real,0.18917373792213088,0.26276617264654,0.4946725239091525,0.686536418331444,0.18917373792213088,0.24470090591065105,0.3017920328376719,real_D_vs_fake_D_negative_control
mpnet,10,0,real,-1.026166128072994,0.4260423302269284,0.6511657638311049,0.43711008799411555,-1.026166128072994,0.4240168519857463,0.20927052629638612,real_D_vs_fake_D_negative_control
bge,1,0,real,0.42355752230287325,0.3582205998122746,0.4528399619034719,0.6674120006454438,0.42355752230287325,0.2050640310967379,0.35574066629503703,real_D_vs_fake_D_negative_control
bge,2,0,real,0.28449901416452283,0.34185748857972437,0.43932044709236184,0.6213675446519319,0.28449901416452283,0.1930024552334327,0.26974449938467565,real_D_vs_fake_D_negative_control
bge,3,0,real,0.0414032814413684,0.3718512332384047,0.48350996918460476,0.4464229208011048,0.0414032814413684,0.23378189030089747,0.2438792933199452,real_D_vs_fake_D_negative_control
bge,4,0,real,0.18619181728556577,0.23391816901560178,0.332540735539307,0.5819032630539972,0.18619181728556577,0.11058334079302334,0.13588379072839465,real_D_vs_fake_D_negative_control
bge,5,0,real,0.32364094692838996,0.3347151099958966,0.429190071581741,0.6237816723282712,0.32364094692838996,0.18420411754433996,0.27234664296692307,real_D_vs_fake_D_negative_control
bge,6,0,real,0.21463118892126964,0.22708964085683733,0.3373736051603863,0.5093662705289915,0.21463118892126964,0.11382094945891622,0.14492675015013562,real_D_vs_fake_D_negative_control
bge,7,0,real,0.07324379231919642,0.42736250458732494,0.5389817338807311,0.4746673763754975,0.07324379231919642,0.29050130945707925,0.3134603329866604,real_D_vs_fake_D_negative_control
bge,8,0,real,0.19083779473195628,0.44089634401794714,0.5420715656501677,0.49430731090904906,0.19083779473195628,0.29384158228642404,0.36314298959265634,real_D_vs_fake_D_negative_control
bge,9,0,real,0.3161251296427312,0.33517891310163966,0.44158294138793763,0.6182660611788572,0.3161251296427312,0.19499549412482278,0.2851332934970305,real_D_vs_fake_D_negative_control
bge,10,0,real,0.25436467234187166,0.41045448294870646,0.5080780064366474,0.5796022976124864,0.25436467234187166,0.2581432606246379,0.34620578055952284,real_D_vs_fake_D_negative_control
