representation,repeat,draw,draw_type,model_name,roc_auc,pr_auc,brier,log_loss,sensitivity_at_0_50,specificity_at_0_50,interpretation_scope
tfidf,1,32,random_mismatch,P,0.6960300681230912,0.6159035881617341,0.23706559430848198,0.6671325860920367,0.627906976744186,0.6666666666666666,pairing_dependence
tfidf,1,32,random_mismatch,P+I-random_mismatch,0.6842847075405215,0.5804482538780529,0.22529990991970114,0.6446830070141676,0.627906976744186,0.6363636363636364,pairing_dependence
tfidf,1,32,random_mismatch,P+I-real,0.7867042518205308,0.6538737802140255,0.20110304517688257,0.5897955910927708,0.7209302325581395,0.7070707070707071,pairing_dependence
tfidf,1,32,random_mismatch,full,0.8879492600422833,0.768247670191529,0.1427386969136796,0.43723421722398176,0.8372093023255814,0.7373737373737373,pairing_dependence
tfidf,1,32,random_mismatch,full+I-random_mismatch,0.8419074465586094,0.7082606658245092,0.1619452681860385,0.5019096295243105,0.7906976744186046,0.7373737373737373,pairing_dependence
tfidf,1,32,random_mismatch,full+I-real,0.8790227859995302,0.749789350739206,0.15287581761297792,0.46619837909019785,0.8604651162790697,0.7272727272727273,pairing_dependence
tfidf,1,33,random_mismatch,P,0.6960300681230912,0.6159035881617341,0.23706559430848198,0.6671325860920367,0.627906976744186,0.6666666666666666,pairing_dependence
tfidf,1,33,random_mismatch,P+I-random_mismatch,0.6967347897580456,0.5922902928375127,0.22144490580501086,0.6327692386036466,0.627906976744186,0.6161616161616161,pairing_dependence
tfidf,1,33,random_mismatch,P+I-real,0.796805261921541,0.6251228946465007,0.21135612520545516,0.618469760204563,0.7209302325581395,0.7171717171717171,pairing_dependence
tfidf,1,33,random_mismatch,full,0.8870096311956777,0.7677140176420109,0.14708396165323492,0.450059442402807,0.8837209302325582,0.7070707070707071,pairing_dependence
tfidf,1,33,random_mismatch,full+I-random_mismatch,0.879492600422833,0.7497520871602558,0.1540845829307418,0.46967927221183237,0.8604651162790697,0.7171717171717171,pairing_dependence
tfidf,1,33,random_mismatch,full+I-real,0.8905332393704487,0.772805393993158,0.1427900526253561,0.43723826532215115,0.8372093023255814,0.7373737373737373,pairing_dependence
tfidf,1,34,random_mismatch,P,0.6960300681230912,0.6159035881617341,0.23706559430848198,0.6671325860920367,0.627906976744186,0.6666666666666666,pairing_dependence
tfidf,1,34,random_mismatch,P+I-random_mismatch,0.6683110171482265,0.5062113380889053,0.23114183559091148,0.6560411352011346,0.5581395348837209,0.6666666666666666,pairing_dependence
tfidf,1,34,random_mismatch,P+I-real,0.7925769321118158,0.6361915732134285,0.20754776067529032,0.6033720293614969,0.6976744186046512,0.7070707070707071,pairing_dependence
tfidf,1,34,random_mismatch,full,0.8759689922480619,0.7441482549414715,0.15326746578941727,0.46681240462906765,0.8604651162790697,0.7171717171717171,pairing_dependence
tfidf,1,34,random_mismatch,full+I-random_mismatch,0.8599953018557669,0.7126759796338249,0.1653576457221997,0.49584424025517815,0.8604651162790697,0.696969696969697,pairing_dependence
tfidf,1,34,random_mismatch,full+I-real,0.8790227859995302,0.749789350739206,0.15287581761297792,0.46619837909019785,0.8604651162790697,0.7272727272727273,pairing_dependence
tfidf,1,35,random_mismatch,P,0.6960300681230912,0.6159035881617341,0.23706559430848198,0.6671325860920367,0.627906976744186,0.6666666666666666,pairing_dependence
tfidf,1,35,random_mismatch,P+I-random_mismatch,0.6694855532064834,0.5564379786676257,0.22583093054367953,0.6418372951054813,0.627906976744186,0.6060606060606061,pairing_dependence
tfidf,1,35,random_mismatch,P+I-real,0.7871740662438337,0.6503064159184723,0.19349306657396165,0.5716465544508226,0.7209302325581395,0.7272727272727273,pairing_dependence
tfidf,1,35,random_mismatch,full,0.8682170542635659,0.732851898761379,0.1485406490882378,0.4798453209774329,0.8372093023255814,0.7474747474747475,pairing_dependence
tfidf,1,35,random_mismatch,full+I-random_mismatch,0.8498942917547568,0.701446436672134,0.16305239498612384,0.5070931435935868,0.8372093023255814,0.7373737373737373,pairing_dependence
tfidf,1,35,random_mismatch,full+I-real,0.8917077754287056,0.7685270970144549,0.14467829120063302,0.4457424785650885,0.8604651162790697,0.7474747474747475,pairing_dependence
tfidf,1,36,random_mismatch,P,0.6960300681230912,0.6159035881617341,0.23706559430848198,0.6671325860920367,0.627906976744186,0.6666666666666666,pairing_dependence
tfidf,1,36,random_mismatch,P+I-random_mismatch,0.7089499647639181,0.570375201538767,0.2158408547750446,0.6241212673819012,0.627906976744186,0.6666666666666666,pairing_dependence
tfidf,1,36,random_mismatch,P+I-real,0.7946910970166784,0.6166709873871584,0.19924275922076423,0.5896528069858303,0.7209302325581395,0.7171717171717171,pairing_dependence
tfidf,1,36,random_mismatch,full,0.8879492600422833,0.768247670191529,0.1427386969136796,0.43723421722398176,0.8372093023255814,0.7373737373737373,pairing_dependence
tfidf,1,36,random_mismatch,full+I-random_mismatch,0.8891237961005403,0.7692107750377406,0.14252201232814934,0.43625469738099704,0.8372093023255814,0.7474747474747475,pairing_dependence
tfidf,1,36,random_mismatch,full+I-real,0.8407329105003524,0.6778287921110344,0.17140126014913212,0.5384085660188582,0.8604651162790697,0.7373737373737373,pairing_dependence
tfidf,1,37,random_mismatch,P,0.6960300681230912,0.6159035881617341,0.23706559430848198,0.6671325860920367,0.627906976744186,0.6666666666666666,pairing_dependence
tfidf,1,37,random_mismatch,P+I-random_mismatch,0.637303265210242,0.5290134807502705,0.2253892019839824,0.6532272751169789,0.5581395348837209,0.6565656565656566,pairing_dependence
tfidf,1,37,random_mismatch,P+I-real,0.7815362931642001,0.6305900279556965,0.20459840791777464,0.6053107554645104,0.7209302325581395,0.7171717171717171,pairing_dependence
tfidf,1,37,random_mismatch,full,0.8682170542635659,0.732851898761379,0.1485406490882378,0.4798453209774329,0.8372093023255814,0.7474747474747475,pairing_dependence
tfidf,1,37,random_mismatch,full+I-random_mismatch,0.8858350951374208,0.7657592469095106,0.14238585059673176,0.4371134815453238,0.8372093023255814,0.7575757575757576,pairing_dependence
tfidf,1,37,random_mismatch,full+I-real,0.8830162085976039,0.7521769245753904,0.15466654435820038,0.4749776931763289,0.8837209302325582,0.7070707070707071,pairing_dependence
tfidf,1,38,random_mismatch,P,0.6960300681230912,0.6159035881617341,0.23706559430848198,0.6671325860920367,0.627906976744186,0.6666666666666666,pairing_dependence
tfidf,1,38,random_mismatch,P+I-random_mismatch,0.6368334507869391,0.48660793904582045,0.23515950181449502,0.6622306702528877,0.5813953488372093,0.6565656565656566,pairing_dependence
tfidf,1,38,random_mismatch,P+I-real,0.7965703547098896,0.6328244819689048,0.20436509882816858,0.6002947882396689,0.7209302325581395,0.7171717171717171,pairing_dependence
tfidf,1,38,random_mismatch,full,0.8870096311956777,0.7677140176420109,0.14708396165323492,0.450059442402807,0.8837209302325582,0.7070707070707071,pairing_dependence
tfidf,1,38,random_mismatch,full+I-random_mismatch,0.8867747239840262,0.770466388006075,0.14421139441666997,0.44028400425675407,0.813953488372093,0.7373737373737373,pairing_dependence
tfidf,1,38,random_mismatch,full+I-real,0.8790227859995302,0.749789350739206,0.15287581761297792,0.46619837909019785,0.8604651162790697,0.7272727272727273,pairing_dependence
tfidf,1,39,random_mismatch,P,0.6960300681230912,0.6159035881617341,0.23706559430848198,0.6671325860920367,0.627906976744186,0.6666666666666666,pairing_dependence
tfidf,1,39,random_mismatch,P+I-random_mismatch,0.6819356354240075,0.579763589873997,0.23777810797582533,0.6685719906366617,0.6046511627906976,0.6666666666666666,pairing_dependence
tfidf,1,39,random_mismatch,P+I-real,0.7944561898050269,0.6188761842252538,0.19897623952743163,0.5881454438445256,0.7209302325581395,0.7171717171717171,pairing_dependence
tfidf,1,39,random_mismatch,full,0.8583509513742072,0.7123416964927134,0.1590694179639755,0.5094235083825188,0.8604651162790697,0.7272727272727273,pairing_dependence
tfidf,1,39,random_mismatch,full+I-random_mismatch,0.8675123326286117,0.747466466933643,0.15297179854573228,0.4570706153936183,0.813953488372093,0.7272727272727273,pairing_dependence
tfidf,1,39,random_mismatch,full+I-real,0.8691566831101714,0.7324216350071369,0.14873998252654802,0.4804171584390981,0.8372093023255814,0.7474747474747475,pairing_dependence
