representation,repeat,subset,scale,n_participants,r2,mae,rmse,spearman_rho,mse_improvement,target_mse,null_mse,source_score_scale_sensitive,standardization_scope,interpretation_scope,n_outer_folds
mpnet,7,R+D,outer_train_standardized,142,0.003735489250167534,44.167418193861444,123.2866536369563,0.6253743260036337,0.003735489250167534,15199.59896499883,15256.589792161665,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,7,null,raw,142,0.0,0.13805882294916347,0.34130759845173575,0.024754430759706975,0.0,0.11649087676089129,0.11649087676089129,False,none,recoverability_scale_sensitivity,5
mpnet,7,null,outer_train_standardized,142,0.0,44.26010318628299,123.5175687591108,,0.0,15256.589792161665,15256.589792161665,False,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,8,D,raw,142,-0.10572066754096632,0.14224554285078808,0.19767256605859376,0.11329228054630106,-0.10572066754096632,0.03907444337218912,0.03533843991456498,True,none,recoverability_scale_sensitivity,5
mpnet,8,D,outer_train_standardized,142,0.0018557441211360937,13.43048472757096,35.801078390803426,0.1736120061066712,0.0018557441211360937,1281.717213944452,1284.1001752957068,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,8,P,raw,142,-16.097944893231812,0.38037997689642356,0.7773124843150376,0.19501415575733827,-16.097944893231812,0.6042146982720156,0.03533843991456498,True,none,recoverability_scale_sensitivity,5
mpnet,8,P,outer_train_standardized,142,-0.002956854981251089,14.00675984108872,35.88728289095533,0.2302159931767364,-0.002956854981251089,1287.8970732954554,1284.1001752957068,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,8,P+D,raw,142,-15.44092121870596,0.3806258811884187,0.7622312684660325,0.23420600975290817,-15.44092121870596,0.5809965066273369,0.03533843991456498,True,none,recoverability_scale_sensitivity,5
mpnet,8,P+D,outer_train_standardized,142,-0.0008936986881953324,13.95747496565456,35.850352493913924,0.33141656066438807,-0.0008936986881953324,1285.24777393788,1284.1001752957068,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,8,P+Q,raw,142,-9.2386028522013,0.34084462502727664,0.6015116388746017,0.423362972059406,-9.2386028522013,0.36181625170160925,0.03533843991456498,True,none,recoverability_scale_sensitivity,5
mpnet,8,P+Q,outer_train_standardized,142,0.0024873730726409082,13.855081168901542,35.789749078431704,0.43952002447657235,0.0024873730726409082,1280.9061390971028,1284.1001752957068,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,8,P+Q+D,raw,142,-7.615200405095596,0.316929013569947,0.5517678333025645,0.4164684581226385,-7.615200405095596,0.3044477418674066,0.03533843991456498,True,none,recoverability_scale_sensitivity,5
mpnet,8,P+Q+D,outer_train_standardized,142,0.003018502785501309,13.804286756673473,35.7802196099984,0.42775953444218356,0.003018502785501309,1280.224115339714,1284.1001752957068,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,8,P+Q+R,raw,142,-1.1872786136902267,0.21319691932361057,0.2780198084063527,0.5507794572823042,-1.1872786136902267,0.07729501386630507,0.03533843991456498,True,none,recoverability_scale_sensitivity,5
mpnet,8,P+Q+R,outer_train_standardized,142,0.009627015671174854,13.555548290282681,35.66143747502022,0.48934912854601204,0.009627015671174854,1271.7381227847766,1284.1001752957068,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,8,P+Q+R+D,raw,142,-1.1711386934886878,0.21216670630006404,0.27699215560379525,0.5491323180864686,-1.1711386934886878,0.07672465426603711,0.03533843991456498,True,none,recoverability_scale_sensitivity,5
mpnet,8,P+Q+R+D,outer_train_standardized,142,0.009546211472593713,13.555625363773727,35.66289224768988,0.4878528723299475,0.009546211472593713,1271.8418834703393,1284.1001752957068,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,8,P+R,raw,142,-1.340149483614431,0.22341589614949509,0.2875712640682459,0.5438472226005939,-1.340149483614431,0.08269723191780882,0.03533843991456498,True,none,recoverability_scale_sensitivity,5
mpnet,8,P+R,outer_train_standardized,142,0.00927342185751312,13.578387495061369,35.66780302545817,0.48990655733238897,0.00927342185751312,1272.1921726628832,1284.1001752957068,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
