representation,repeat,subset,prediction_scope,r2,delta_mse,mae,rmse,spearman_rho,target_mse,null_mse,r2_defined,interpretation_scope,total_recoverability_r2,full_label_conditioned_r2,interpretation_flag,high_total_r2_threshold,near_zero_conditioned_r2_threshold
bge,9,D,outer_test,0.014792991206093786,0.0037272502382574013,0.38469399974008117,0.4982301700205297,0.10006695439248312,0.24823330231868593,0.25196055255694333,True,label_conditioned_recoverability,0.3161251296427312,0.21897942013626237,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,9,P_within,outer_test,0.03125611496593228,0.00787530799759964,0.37443799397083094,0.49404984015718867,0.26664165920983424,0.2440852445593437,0.25196055255694333,True,label_conditioned_recoverability,0.3161251296427312,0.21897942013626237,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,9,P_within+Q+R+D,outer_test,0.21897942013626237,0.0551741756961317,0.3373550431088274,0.4436061055269772,0.4842484455909689,0.19678637686081163,0.25196055255694333,True,label_conditioned_recoverability,0.3161251296427312,0.21897942013626237,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,9,Q,outer_test,0.04254211510963646,0.010718934829965082,0.3753403232451788,0.4911635346063246,0.36681119300238274,0.24124161772697825,0.25196055255694333,True,label_conditioned_recoverability,0.3161251296427312,0.21897942013626237,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,9,R,outer_test,0.17876297246230988,0.04504121731832525,0.34902784247854496,0.45488387005764236,0.4259782770421069,0.20691933523861808,0.25196055255694333,True,label_conditioned_recoverability,0.3161251296427312,0.21897942013626237,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,10,D,outer_test,0.024930403886588737,0.007645548400464441,0.4584626244355106,0.5468364700859081,0.12716318447606453,0.2990301250160162,0.30667567341648067,True,label_conditioned_recoverability,0.2543646723418719,0.16266477830909998,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,10,P_within,outer_test,-0.0032137027503633675,-0.0009855644551280962,0.46689986135606154,0.5546721895602922,0.03190127223690305,0.30766123787160876,0.30667567341648067,True,label_conditioned_recoverability,0.2543646723418719,0.16266477830909998,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,10,P_within+Q+R+D,outer_test,0.16266477830909998,0.04988533042908577,0.4146474457777768,0.5067448499860604,0.474734435477618,0.2567903429873949,0.30667567341648067,True,label_conditioned_recoverability,0.2543646723418719,0.16266477830909998,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,10,Q,outer_test,0.05180267619609058,0.015886620607211965,0.4509477140148094,0.53924860019222,0.28826402844982413,0.2907890528092687,0.30667567341648067,True,label_conditioned_recoverability,0.2543646723418719,0.16266477830909998,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,10,R,outer_test,0.16134787021586317,0.04948146675276477,0.41430181536974187,0.5071431816200588,0.4884983161878577,0.2571942066637159,0.30667567341648067,True,label_conditioned_recoverability,0.2543646723418719,0.16266477830909998,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
mpnet,1,D,outer_test,0.03582552268806238,0.011532586190694638,0.3380706462451438,0.5571150649462209,0.10191527283134659,0.3103771955900319,0.32190978178072654,True,label_conditioned_recoverability,0.2967210380639399,0.28344327194248187,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
mpnet,1,P_within,outer_test,0.08637458368478701,0.02780482338537088,0.3301747594409452,0.542314446050772,0.3860152433721508,0.29410495839535566,0.32190978178072654,True,label_conditioned_recoverability,0.2967210380639399,0.28344327194248187,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
mpnet,1,P_within+Q+R+D,outer_test,0.28344327194248187,0.09124316181821945,0.2912582793110065,0.4802776488267043,0.44195510812232425,0.2306666199625071,0.32190978178072654,True,label_conditioned_recoverability,0.2967210380639399,0.28344327194248187,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
mpnet,1,Q,outer_test,0.20069564202370782,0.06460589032819458,0.2968885942003709,0.5072513099564475,0.5729718288903186,0.25730389145253196,0.32190978178072654,True,label_conditioned_recoverability,0.2967210380639399,0.28344327194248187,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
mpnet,1,R,outer_test,0.26468646979277766,0.0852051637313039,0.29530017773763995,0.48652298820243084,0.43032035390441153,0.23670461804942264,0.32190978178072654,True,label_conditioned_recoverability,0.2967210380639399,0.28344327194248187,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
mpnet,2,D,outer_test,0.001114116880417626,0.00038459225373821404,0.368064289619907,0.5872091670535428,0.0165887627687566,0.34481460587171553,0.34519919812545374,True,label_conditioned_recoverability,-0.1713350948762995,-0.19591334938108562,inconclusive_label_conditioned_recoverability,0.5,0.05
mpnet,2,P_within,outer_test,-4.300800422287051,-1.484632857071103,0.7927178924657288,1.3527128502370918,0.3840579558290077,1.8298320551965566,0.34519919812545374,True,label_conditioned_recoverability,-0.1713350948762995,-0.19591334938108562,inconclusive_label_conditioned_recoverability,0.5,0.05
mpnet,2,P_within+Q+R+D,outer_test,-0.19591334938108562,-0.06762913110842261,0.44411128413799145,0.6425171820534268,0.30533895232726527,0.41282832923387636,0.34519919812545374,True,label_conditioned_recoverability,-0.1713350948762995,-0.19591334938108562,inconclusive_label_conditioned_recoverability,0.5,0.05
mpnet,2,Q,outer_test,0.008884223989885642,0.0030668269972754514,0.36882057873337326,0.5849208246661921,0.2589382448537378,0.3421323711281783,0.34519919812545374,True,label_conditioned_recoverability,-0.1713350948762995,-0.19591334938108562,inconclusive_label_conditioned_recoverability,0.5,0.05
mpnet,2,R,outer_test,0.009829761687371597,0.0033932258522449965,0.371573931073715,0.5846417469469732,0.3334409073096517,0.34180597227320875,0.34519919812545374,True,label_conditioned_recoverability,-0.1713350948762995,-0.19591334938108562,inconclusive_label_conditioned_recoverability,0.5,0.05
mpnet,3,D,outer_test,-0.038213837378721305,-0.012050975418586296,0.3579153329002136,0.5721951616372081,-0.07832092214748726,0.32740730300103066,0.31535632758244436,True,label_conditioned_recoverability,0.06788192496188783,0.020730547942517275,inconclusive_label_conditioned_recoverability,0.5,0.05
