record_type,representation,repeat,outer_fold,draw,partition,feature,assignment_type,mean_signed_standardized_paired_difference,mean_abs_standardized_paired_difference,median_abs_standardized_paired_difference,q95_abs_standardized_paired_difference,before_standardized_mean_difference,after_standardized_mean_difference,max_abs_smd,mean_distance,median_distance,q95_distance,max_distance,total_cost,random_distance_q05,optimal_distance_random_percentile,n_features_mean_abs_paired_diff_lt_0_50,matching_adequate,self_match_count,max_donor_reuse_count,one_to_one
quality,tfidf,1,5,99,outer_test,interviewer_turn_count,random_mismatch,-8.425799740458777e-18,1.058831759754146,0.7580272825512637,2.815930979255249,0.0,-8.425799740458777e-18,3.172065784643304e-17,3.3538704237272197,3.233439241098199,6.029161644577681,6.0902505637370545,370.17429771175574,2.9105872687482166,0.7920792079207921,0,False,0,1,True
quality,tfidf,1,5,99,outer_test,clinical_question_count,random_mismatch,3.172065784643304e-17,1.1838208092717282,1.0044540199881329,2.837582606466475,0.0,3.172065784643304e-17,3.172065784643304e-17,3.3538704237272197,3.233439241098199,6.029161644577681,6.0902505637370545,370.17429771175574,2.9105872687482166,0.7920792079207921,0,False,0,1,True
quality,tfidf,1,5,99,outer_test,clinical_prompt_coverage_count,random_mismatch,0.0,1.1857904098430938,1.071036499213117,3.0256781102770547,0.0,0.0,3.172065784643304e-17,3.3538704237272197,3.233439241098199,6.029161644577681,6.0902505637370545,370.17429771175574,2.9105872687482166,0.7920792079207921,0,False,0,1,True
quality,tfidf,1,5,99,outer_test,non_explicit_interviewer_turn_count,random_mismatch,-1.1895246692412391e-17,1.0465605482490743,0.7711498776572125,2.636739389374083,0.0,-1.1895246692412391e-17,3.172065784643304e-17,3.3538704237272197,3.233439241098199,6.029161644577681,6.0902505637370545,370.17429771175574,2.9105872687482166,0.7920792079207921,0,False,0,1,True
quality,tfidf,1,5,99,outer_test,d_p_domain_breadth,random_mismatch,-7.93016446160826e-18,1.1586201570541608,1.2015320147228332,3.003830036807083,0.0,-7.93016446160826e-18,3.172065784643304e-17,3.3538704237272197,3.233439241098199,6.029161644577681,6.0902505637370545,370.17429771175574,2.9105872687482166,0.7920792079207921,0,False,0,1,True
quality,tfidf,1,5,99,outer_test,d_p_total_evidence_count,random_mismatch,-1.1895246692412391e-17,0.9734631569145674,0.7819622080133413,2.3012030692964034,0.0,-1.1895246692412391e-17,3.172065784643304e-17,3.3538704237272197,3.233439241098199,6.029161644577681,6.0902505637370545,370.17429771175574,2.9105872687482166,0.7920792079207921,0,False,0,1,True
quality,tfidf,1,5,100,outer_test,interviewer_word_count,random_mismatch,-4.7580986769649563e-17,0.9264043370927731,0.8602771588221779,2.1620468087962443,0.0,-4.7580986769649563e-17,4.7580986769649563e-17,3.0683501345260615,3.102711413744157,4.521403010418057,5.261217009080084,296.78933177141676,2.9105872687482166,0.16831683168316833,0,False,0,1,True
quality,tfidf,1,5,100,outer_test,interviewer_turn_count,random_mismatch,-7.93016446160826e-18,0.9545528743238136,0.9264777897848779,2.02140608680337,0.0,-7.93016446160826e-18,4.7580986769649563e-17,3.0683501345260615,3.102711413744157,4.521403010418057,5.261217009080084,296.78933177141676,2.9105872687482166,0.16831683168316833,0,False,0,1,True
quality,tfidf,1,5,100,outer_test,clinical_question_count,random_mismatch,-4.7580986769649563e-17,1.0044540199881329,1.0044540199881329,2.5111350499703327,0.0,-4.7580986769649563e-17,4.7580986769649563e-17,3.0683501345260615,3.102711413744157,4.521403010418057,5.261217009080084,296.78933177141676,2.9105872687482166,0.16831683168316833,0,False,0,1,True
quality,tfidf,1,5,100,outer_test,clinical_prompt_coverage_count,random_mismatch,0.0,1.071036499213117,1.071036499213117,2.677591248032792,0.0,0.0,4.7580986769649563e-17,3.0683501345260615,3.102711413744157,4.521403010418057,5.261217009080084,296.78933177141676,2.9105872687482166,0.16831683168316833,0,False,0,1,True
